序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,年度股息率(%) 2025.12.31,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
29,000333,美的集团,SZ,77.90,0.53,5.50,13.48,0.410,78.44,77.40,0.35,1.00,2380.78万,18.54亿,3.37,2.6538,5923.90亿,5338.71亿,1000240855,False
30,600803,新奥股份,SH,20.95,0.87,5.49,13.85,0.180,20.98,20.61,0.23,0.64,717.50万,1.49亿,3.46,2.6314,648.57亿,643.53亿,1000002202,False
31,000895,双汇发展,SZ,28.71,-0.21,5.48,19.49,-0.060,28.99,28.45,0.27,0.83,930.77万,2.67亿,4.87,4.6563,994.70亿,994.57亿,1000000665,False
32,600894,广日股份,SH,9.99,1.22,5.41,12.34,0.120,10.03,9.80,1.06,0.75,896.68万,8889.66万,3.09,0.9580,85.08亿,84.23亿,1000000748,False
33,600007,中国国贸,SH,21.33,-0.47,5.40,17.87,-0.100,21.65,21.25,0.23,0.98,227.89万,4892.73万,4.47,2.2042,214.85亿,214.85亿,1000002211,False
34,600011,华能国际,SH,6.99,-0.14,5.36,7.62,-0.010,7.04,6.97,0.52,0.79,5762.82万,4.03亿,1.90,1.6900,1097.30亿,768.74亿,1000002250,False
35,600098,广州发展,SH,7.11,-0.56,5.35,10.75,-0.040,7.17,7.06,0.57,0.84,2009.54万,1.43亿,2.69,0.9166,249.27亿,249.27亿,1000002322,False
36,603558,健盛集团,SH,13.78,3.45,5.34,11.66,0.460,13.89,13.35,3.15,1.22,1079.66万,1.48亿,2.92,2.0130,47.22亿,47.22亿,1000310540,False
37,002233,塔牌集团,SZ,9.27,0.76,5.33,17.17,0.070,9.31,9.18,0.56,0.98,655.19万,6067.85万,4.29,0.9060,108.84亿,108.76亿,1000007852,False
38,002749,国光股份,SZ,13.42,2.29,5.25,16.68,0.300,13.50,13.13,0.62,2.26,279.29万,3723.94万,5.62,3.5016,62.59亿,60.88亿,1000309733,False
39,000001,平安银行,SZ,11.09,-1.07,5.22,5.05,-0.120,11.23,11.07,0.35,1.37,6809.15万,7.58亿,1.26,0.4769,2152.12亿,2152.08亿,1000001536,False
40,601000,唐山港,SH,4.82,0.42,5.21,14.29,0.020,4.83,4.75,0.54,0.75,3183.88万,1.53亿,3.57,1.3295,285.63亿,285.63亿,1000008234,False
41,605368,蓝天燃气,SH,8.24,-0.48,5.18,18.76,-0.040,8.29,8.21,0.54,1.16,385.94万,3175.73万,5.62,1.8305,58.89亿,58.89亿,1000012364,False
42,600273,嘉化能源,SH,9.16,1.78,5.15,12.16,0.160,9.17,9.01,0.95,0.72,1249.28万,1.13亿,3.04,1.1810,120.12亿,120.12亿,1000000454,False
