序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,总市值(元) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
104,001289,龙源电力,SZ,15.48,0.58,1294.10亿,28.59,0.090,15.49,15.31,0.13,0.67,647.32万,9977.12万,7.15,1.7254,780.49亿,1002921628,False
105,002602,世纪华通,SZ,17.32,3.28,1276.60亿,33.89,0.550,17.33,16.70,1.53,0.90,1.04亿,17.83亿,7.32,4.2589,1177.21亿,1000009782,False
106,601868,中国能建,SH,2.88,1.77,1274.12亿,21.82,0.050,2.89,2.82,2.30,1.39,7.47亿,21.43亿,5.45,1.0800,933.95亿,1002791482,False
107,000807,云铝股份,SZ,36.42,5.69,1263.03亿,20.86,1.960,36.49,35.08,1.77,1.17,6133.18万,21.97亿,5.22,3.9430,1263.02亿,1000000865,False
108,002736,国信证券,SZ,12.27,1.40,1256.66亿,10.07,0.170,12.35,12.10,0.33,0.95,3196.32万,3.92亿,3.44,1.3073,1179.45亿,1000324633,False
109,603799,华友钴业,SH,65.91,5.02,1250.13亿,20.46,3.150,65.94,63.15,5.03,1.09,9483.47万,61.23亿,5.11,2.5885,1241.80亿,1000412125,False
110,601800,中国交建,SH,7.59,-0.26,1235.25亿,8.37,-0.020,7.63,7.57,0.14,0.99,1625.57万,1.23亿,2.09,0.4278,894.39亿,1000006650,False
111,600926,杭州银行,SH,17.03,-1.45,1234.51亿,6.49,-0.250,17.35,17.02,0.37,0.98,2697.86万,4.63亿,1.94,0.9269,1234.51亿,1000327148,False
112,000617,中油资本,SZ,9.73,-1.42,1230.07亿,28.56,-0.140,9.82,9.67,1.30,0.49,1.65亿,16.00亿,7.69,1.1808,1230.07亿,1000004175,False
113,600026,中远海能,SH,21.99,-1.92,1201.80亿,29.77,-0.430,22.65,21.89,1.85,0.78,6436.62万,14.24亿,7.44,2.5898,764.10亿,1000002336,False
114,000425,徐工机械,SZ,10.20,-3.13,1198.36亿,18.15,-0.330,10.65,10.06,1.89,2.04,1.70亿,17.37亿,5.01,2.0017,918.94亿,1000001764,False
115,000166,申万宏源,SZ,4.75,0.00,1189.40亿,12.51,0.000,4.79,4.74,0.31,0.85,7017.54万,3.34亿,3.13,1.0658,1070.44亿,1000420071,False
116,603501,豪威集团,SH,93.71,1.52,1181.82亿,29.21,1.400,94.17,92.49,1.38,1.04,1664.50万,15.54亿,7.30,4.2300,1134.27亿,1000498858,False
117,600585,海螺水泥,SH,22.25,-1.33,1179.09亿,14.53,-0.300,22.55,22.07,1.29,2.31,5150.21万,11.46亿,3.63,0.6127,889.93亿,1000000573,False
118,600905,三峡能源,SH,4.10,-0.24,1172.09亿,31.95,-0.010,4.12,4.09,0.34,0.92,9748.82万,4.00亿,6.79,1.3227,1172.09亿,1002203760,False
119,600018,上港集团,SH,4.98,-0.20,1159.34亿,8.55,-0.010,5.01,4.97,0.16,1.15,3624.47万,1.81亿,2.14,0.8226,1157.69亿,1000004109,False
120,002001,新 和 成,SZ,37.62,2.81,1156.22亿,17.09,1.030,38.46,36.24,1.62,1.08,4921.17万,18.49亿,4.27,3.5245,1142.47亿,1000010007,False
121,601169,北京银行,SH,5.43,-0.73,1148.06亿,4.44,-0.040,5.48,5.42,0.37,1.05,7785.69万,4.24亿,1.36,0.4135,1148.06亿,1000009675,False
122,600015,华夏银行,SH,7.21,-0.83,1147.47亿,4.22,-0.060,7.28,7.17,0.30,1.10,4688.10万,3.38亿,1.05,0.3634,1109.42亿,1000009999,False
123,300498,温氏股份,SZ,17.17,-0.12,1142.48亿,21.82,-0.020,17.25,16.90,0.79,0.94,4714.91万,8.07亿,5.43,2.7158,1021.50亿,1000563341,False
124,600011,华能国际,SH,6.99,-0.14,1097.30亿,7.62,-0.010,7.04,6.97,0.52,0.79,5762.82万,4.03亿,1.90,1.6900,768.74亿,1000002250,False
125,605499,东鹏饮料,SH,194.26,0.39,1097.12亿,24.85,0.760,195.22,192.25,0.82,0.91,428.20万,8.31亿,6.21,11.6455,1010.18亿,1002224299,False
126,600886,国投电力,SH,13.33,-0.37,1067.00亿,16.21,-0.050,13.52,13.28,0.26,1.04,1951.73万,2.61亿,4.09,1.6100,993.64亿,1000004058,False
127,601006,大秦铁路,SH,5.29,1.15,1065.79亿,16.00,0.060,5.31,5.21,0.74,1.95,1.48亿,7.82亿,4.28,0.6467,1065.79亿,1000007642,False
128,601689,拓普集团,SH,61.16,3.45,1062.86亿,38.25,2.040,61.68,60.37,2.49,1.63,4332.52万,26.45亿,9.56,4.4106,1062.86亿,1000305036,False
129,002202,金风科技,SZ,24.99,-0.12,1055.52亿,38.05,-0.030,25.20,24.80,4.57,0.71,1.54亿,38.31亿,9.51,2.7209,840.54亿,1000006954,False
130,000625,长安汽车,SZ,10.15,1.10,1006.16亿,24.69,0.110,10.33,10.03,1.47,2.68,1.22亿,12.39亿,6.17,1.3010,839.11亿,1000009101,False
131,000895,双汇发展,SZ,28.71,-0.21,994.70亿,19.49,-0.060,28.99,28.45,0.27,0.83,930.77万,2.67亿,4.87,4.6563,994.57亿,1000000665,False
132,603296,华勤技术,SH,97.57,-1.32,991.05亿,24.44,-1.310,98.94,95.65,2.45,0.91,1394.95万,13.57亿,6.11,3.8417,556.62亿,1002681202,False
133,000538,云南白药,SZ,55.52,-0.36,990.62亿,19.22,-0.200,55.72,55.33,0.28,0.71,490.73万,2.72亿,4.81,2.4738,984.33亿,1000009000,False
134,601669,中国电建,SH,5.72,0.70,985.34亿,9.20,0.040,5.75,5.68,1.61,1.04,2.11亿,12.06亿,3.30,0.6852,747.69亿,1000006345,False
135,600522,中天科技,SH,28.00,0.72,955.63亿,33.35,0.200,28.33,27.42,3.77,0.63,1.29亿,36.00亿,10.22,2.6096,955.63亿,1000002164,False
136,002648,卫星化学,SZ,28.20,1.00,949.96亿,16.21,0.280,28.33,27.56,1.26,0.68,4230.49万,11.84亿,11.22,2.6795,949.35亿,1000009284,False
137,601186,中国铁建,SH,6.96,0.00,945.14亿,5.15,0.000,6.98,6.94,0.36,1.07,4126.78万,2.87亿,1.29,0.3447,800.63亿,1000007767,False
138,600160,巨化股份,SH,34.10,-0.90,920.61亿,23.25,-0.310,34.78,34.00,1.29,1.04,3471.84万,11.88亿,7.09,4.6149,920.61亿,1000001301,False
139,002532,天山铝业,SZ,19.69,6.72,911.40亿,18.92,1.240,19.76,18.70,2.03,1.27,8319.73万,16.04亿,4.73,3.1310,808.64亿,1000008000,False
140,002027,分众传媒,SZ,6.29,-0.16,908.41亿,16.74,-0.010,6.36,6.25,0.87,0.98,1.26亿,7.97亿,5.36,6.3521,908.41亿,1000002025,False
141,000100,TCL科技,SZ,4.33,-0.46,900.68亿,19.94,-0.020,4.36,4.26,1.70,1.10,3.25亿,14.01亿,4.99,1.4661,828.41亿,1000002254,False
142,300015,爱尔眼科,SZ,9.58,-0.42,893.37亿,27.75,-0.040,9.64,9.53,0.67,1.00,5331.02万,5.10亿,7.17,4.1188,762.12亿,1000008266,False
143,600436,片仔癀,SH,148.07,-0.61,893.33亿,36.92,-0.910,149.18,147.78,0.26,0.87,157.96万,2.34亿,10.49,6.1727,893.33亿,1000001716,False
144,601825,沪农商行,SH,9.17,-1.40,884.40亿,7.15,-0.130,9.36,9.17,0.18,1.12,1648.59万,1.52亿,2.09,0.7023,859.64亿,1001908725,False
145,600795,国电电力,SH,4.83,-1.02,861.46亿,12.03,-0.050,4.90,4.81,0.81,1.22,1.45亿,6.99亿,3.01,1.4485,861.46亿,1000002157,False
146,002241,歌尔股份,SZ,24.22,0.50,858.76亿,29.54,0.120,24.37,24.00,1.95,0.78,6131.56万,14.82亿,8.30,2.3919,760.14亿,1000007423,False
147,000708,中信特钢,SZ,16.84,1.51,849.94亿,14.34,0.250,16.86,16.54,0.16,0.69,812.12万,1.36亿,3.58,1.9721,849.94亿,1000002482,False
148,600600,青岛啤酒,SH,62.06,0.10,846.62亿,18.45,0.060,62.25,61.83,0.57,0.92,402.42万,2.50亿,4.61,2.7623,440.08亿,1000000792,False
149,600988,赤峰黄金,SH,44.10,1.85,838.08亿,27.19,0.800,44.30,42.60,2.31,0.95,3849.44万,16.74亿,6.80,6.2473,733.78亿,1000002338,False
150,000975,山金国际,SZ,30.14,0.97,836.90亿,28.16,0.290,30.46,29.66,1.00,0.89,2520.59万,7.57亿,7.04,5.6100,761.77亿,1000002420,False
151,600039,四川路桥,SH,9.61,1.16,835.65亿,10.80,0.110,9.61,9.46,0.22,1.08,1889.58万,1.80亿,3.94,1.6895,835.65亿,1000001706,False
152,601916,浙商银行,SH,3.02,0.00,829.43亿,6.41,0.000,3.03,3.00,0.39,1.20,8307.06万,2.50亿,1.60,0.4663,650.64亿,1001194676,False
153,002311,海大集团,SZ,49.22,-0.69,818.90亿,16.30,-0.340,49.78,48.96,0.35,0.50,585.50万,2.88亿,4.94,3.2408,818.29亿,1000008095,False
154,601077,渝农商行,SH,7.21,-0.14,818.84亿,6.75,-0.010,7.25,7.16,0.42,1.01,3748.34万,2.70亿,1.69,0.6356,637.24亿,1001257129,False
155,600066,宇通客车,SH,36.45,0.00,806.98亿,14.53,0.000,36.84,36.20,0.73,0.81,1612.78万,5.88亿,3.63,5.1723,806.98亿,1000001694,False
156,000933,神火股份,SZ,35.41,4.89,796.37亿,14.25,1.650,35.47,34.61,2.28,1.07,5116.28万,17.95亿,8.70,2.9611,795.81亿,1000001335,False
157,600958,东方证券,SH,9.28,0.00,788.49亿,14.00,0.000,9.37,9.27,0.68,0.96,5075.92万,4.72亿,3.50,0.9895,693.17亿,1000304609,False
158,600236,桂冠电力,SH,9.81,1.34,773.26亿,23.58,0.130,9.86,9.63,0.17,0.86,1339.63万,1.31亿,5.89,4.2373,773.26亿,1000001805,False
159,603659,璞泰来,SH,35.84,2.72,765.69亿,32.46,0.950,36.45,34.80,3.09,0.89,6605.66万,23.59亿,8.11,3.8381,765.69亿,1000730078,False
160,002304,洋河股份,SZ,50.40,-0.24,759.25亿,36.68,-0.120,50.68,50.26,0.27,1.10,408.78万,2.06亿,4.78,1.5634,759.23亿,1000006867,False
161,600426,华鲁恒升,SH,35.72,0.48,758.40亿,22.87,0.170,35.78,34.91,1.20,0.91,2555.19万,9.03亿,5.72,2.2926,758.30亿,1000000015,False
162,002128,电投能源,SZ,33.80,3.11,757.65亿,12.93,1.020,34.23,32.98,1.06,1.30,2382.13万,8.02亿,9.47,1.9083,757.65亿,1000007108,False
163,601018,宁波港,SH,3.89,-0.51,756.78亿,14.64,-0.020,3.91,3.84,0.18,0.91,3475.35万,1.35亿,3.66,0.9371,756.78亿,1000008162,False
164,002179,中航光电,SZ,35.62,-0.70,754.23亿,34.89,-0.250,36.15,35.50,1.13,0.53,2373.49万,8.47亿,8.72,3.1079,746.77亿,1000006290,False
165,603195,公牛集团,SH,41.18,-0.02,744.50亿,18.67,-0.010,41.40,41.00,0.08,0.80,139.20万,5726.19万,6.25,4.7537,741.51亿,1001592021,False
166,600023,浙能电力,SH,5.54,0.00,742.84亿,10.19,0.000,5.56,5.50,0.30,0.74,4034.76万,2.23亿,2.98,0.9985,742.84亿,1000258544,False
