序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
161,002128,电投能源,SZ,33.80,3.11,12.93,28.35|2026一季报,20.01亿|2026一季报,54.19亿|2025年报,41.18亿|2025三季报,27.87亿|2025半年报,15.59亿|2025一季报,-,26.08亿|2026一季报,65.30亿|2025年报,49.48亿|2025三季报,32.98亿|2025半年报,17.45亿|2025一季报,-,1.020,34.23,32.98,1.06,1.30,2382.13万,8.02亿,9.47,1.9083,757.65亿,757.65亿,1000007108,False
162,000791,甘肃能源,SZ,8.13,1.37,12.86,24.77|2025年报,-,20.51亿|2025年报,15.82亿|2025三季报,8.25亿|2025半年报,4.80亿|2025一季报,16.44亿|2024年报,-,29.84亿|2025年报,22.27亿|2025三季报,11.82亿|2025半年报,7.03亿|2025一季报,22.93亿|2024年报,0.110,8.29,7.88,3.55,1.00,6878.87万,5.59亿,3.21,1.7523,263.72亿,157.37亿,1000000515,False
163,000987,越秀资本,SZ,8.92,1.48,12.72,53.42|2025年报,-,35.19亿|2025年报,30.10亿|2025三季报,15.58亿|2025半年报,6.57亿|2025一季报,22.94亿|2024年报,-,45.69亿|2025年报,38.22亿|2025三季报,20.00亿|2025半年报,8.49亿|2025一季报,27.34亿|2024年报,0.130,8.96,8.78,1.03,0.78,5180.32万,4.61亿,3.18,1.3972,447.53亿,447.19亿,1000009331,False
164,000166,申万宏源,SZ,4.75,0.00,12.51,82.46|2025年报,-,95.07亿|2025年报,80.16亿|2025三季报,42.84亿|2025半年报,19.77亿|2025一季报,52.11亿|2024年报,-,105.27亿|2025年报,87.93亿|2025三季报,48.03亿|2025半年报,22.47亿|2025一季报,62.51亿|2024年报,0.000,4.79,4.74,0.31,0.85,7017.54万,3.34亿,3.13,1.0658,1189.40亿,1070.44亿,1000420071,False
165,600282,南钢股份,SH,5.70,0.88,12.26,26.83|2025年报,-,28.67亿|2025年报,21.76亿|2025三季报,14.63亿|2025半年报,5.78亿|2025一季报,22.61亿|2024年报,-,27.58亿|2025年报,20.89亿|2025三季报,14.03亿|2025半年报,5.64亿|2025一季报,21.92亿|2024年报,0.050,5.73,5.61,0.44,0.81,2741.45万,1.55亿,3.06,1.2679,351.41亿,351.41亿,1000001995,False
166,603558,健盛集团,SH,13.78,3.45,11.66,24.62|2025年报,-,4.05亿|2025年报,3.09亿|2025三季报,1.42亿|2025半年报,6012.23万|2025一季报,3.25亿|2024年报,-,4.05亿|2025年报,3.09亿|2025三季报,1.42亿|2025半年报,6012.23万|2025一季报,3.25亿|2024年报,0.460,13.89,13.35,3.15,1.22,1079.66万,1.48亿,2.92,2.0130,47.22亿,47.22亿,1000310540,False
167,600030,中信证券,SH,26.31,1.15,11.55,38.58|2025年报,-,300.76亿|2025年报,231.59亿|2025三季报,137.19亿|2025半年报,65.45亿|2025一季报,217.04亿|2024年报,-,310.07亿|2025年报,239.16亿|2025三季报,141.46亿|2025半年报,67.62亿|2025一季报,225.89亿|2024年报,0.300,26.48,26.04,1.17,0.72,1.43亿,37.59亿,3.24,1.1655,3899.29亿,3203.65亿,1000002450,False
168,600668,尖峰集团,SH,11.37,0.80,11.40,281.43|2025年报,-,4.12亿|2025年报,6.50亿|2025三季报,6.18亿|2025半年报,5.82亿|2025一季报,1.08亿|2024年报,-,3.95亿|2025年报,6.58亿|2025三季报,6.28亿|2025半年报,5.87亿|2025一季报,1.33亿|2024年报,0.090,11.49,11.16,2.68,1.34,1106.54万,1.25亿,2.85,0.8528,46.95亿,46.95亿,1000002220,False
169,000776,广发证券,SZ,19.88,0.10,11.35,42.18|2025年报,-,137.02亿|2025年报,109.34亿|2025三季报,64.70亿|2025半年报,27.57亿|2025一季报,96.37亿|2024年报,-,149.52亿|2025年报,118.78亿|2025三季报,70.06亿|2025半年报,29.70亿|2025一季报,105.45亿|2024年报,0.020,20.13,19.77,0.92,0.70,5437.45万,10.83亿,2.84,1.2011,1555.58亿,1173.72亿,1000000404,False
170,601881,中国银河,SH,12.98,-0.08,11.34,24.81|2025年报,-,125.20亿|2025年报,109.68亿|2025三季报,64.88亿|2025半年报,30.16亿|2025一季报,100.31亿|2024年报,-,125.20亿|2025年报,109.68亿|2025三季报,64.88亿|2025半年报,30.16亿|2025一季报,100.31亿|2024年报,-0.010,13.10,12.96,0.49,0.96,3572.40万,4.65亿,2.83,1.2037,1419.29亿,940.20亿,1000350709,False
171,601607,上海医药,SH,17.14,-0.64,11.10,25.74|2025年报,-,57.25亿|2025年报,51.47亿|2025三季报,44.59亿|2025半年报,13.33亿|2025一季报,45.53亿|2024年报,-,69.74亿|2025年报,59.86亿|2025三季报,49.95亿|2025半年报,16.40亿|2025一季报,58.70亿|2024年报,-0.110,17.28,17.10,0.30,0.80,836.42万,1.44亿,2.78,0.8375,635.61亿,478.07亿,1000004135,False
172,601083,锦江航运,SH,12.77,-1.01,11.01,47.00|2025年报,-,15.00亿|2025年报,11.85亿|2025三季报,7.94亿|2025半年报,3.57亿|2025一季报,10.21亿|2024年报,-,15.12亿|2025年报,11.94亿|2025三季报,8.00亿|2025半年报,3.59亿|2025一季报,10.36亿|2024年报,-0.130,12.91,12.66,5.64,0.86,1095.08万,1.39亿,2.75,1.7541,165.26亿,24.79亿,1003354127,False
173,688332,中科蓝讯,SH,127.96,1.31,10.90,371.66|2025年报,-,14.15亿|2025年报,2.11亿|2025三季报,1.31亿|2025半年报,4489.02万|2025一季报,3.00亿|2024年报,-,14.15亿|2025年报,2.11亿|2025三季报,1.31亿|2025半年报,4479.06万|2025一季报,3.00亿|2024年报,1.650,127.98,125.77,1.52,0.72,183.24万,2.33亿,2.73,2.9197,154.32亿,154.32亿,1002629418,False
174,601211,国泰海通,SH,17.13,0.47,10.86,113.52|2025年报,-,278.09亿|2025年报,220.74亿|2025三季报,157.37亿|2025半年报,122.42亿|2025一季报,130.24亿|2024年报,-,291.70亿|2025年报,230.59亿|2025三季报,163.21亿|2025半年报,125.09亿|2025一季报,135.49亿|2024年报,0.080,17.42,17.08,0.93,1.12,1.26亿,21.68亿,2.71,0.9424,3019.83亿,2312.02亿,1000304595,False
175,600098,广州发展,SH,7.11,-0.56,10.75,33.93|2025年报,-,23.19亿|2025年报,21.59亿|2025三季报,16.35亿|2025半年报,4.52亿|2025一季报,17.32亿|2024年报,-,24.80亿|2025年报,22.67亿|2025三季报,16.79亿|2025半年报,4.77亿|2025一季报,19.55亿|2024年报,-0.040,7.17,7.06,0.57,0.84,2009.54万,1.43亿,2.69,0.9166,249.27亿,249.27亿,1000002322,False
176,601991,大唐发电,SH,3.87,-0.51,9.70,63.91|2025年报,-,73.86亿|2025年报,67.12亿|2025三季报,45.79亿|2025半年报,22.38亿|2025一季报,45.06亿|2024年报,-,100.23亿|2025年报,94.21亿|2025三季报,60.68亿|2025半年报,27.45亿|2025一季报,68.58亿|2024年报,-0.020,3.89,3.84,0.73,0.72,9090.91万,3.51亿,2.42,2.1036,716.21亿,479.73亿,1000002436,False
177,600011,华能国际,SH,6.99,-0.14,7.62,42.17|2025年报,-,144.10亿|2025年报,148.41亿|2025三季报,92.62亿|2025半年报,49.73亿|2025一季报,101.35亿|2024年报,-,195.05亿|2025年报,194.36亿|2025三季报,123.07亿|2025半年报,69.59亿|2025一季报,141.10亿|2024年报,-0.010,7.04,6.97,0.52,0.79,5762.82万,4.03亿,1.90,1.6900,1097.30亿,768.74亿,1000002250,False
178,601628,中国人寿,SH,37.87,0.45,6.95,44.09|2025年报,-,1540.78亿|2025年报,1678.04亿|2025三季报,409.31亿|2025半年报,288.02亿|2025一季报,1069.35亿|2024年报,-,1565.52亿|2025年报,1697.80亿|2025三季报,419.56亿|2025半年报,292.73亿|2025一季报,1089.40亿|2024年报,0.170,38.07,37.59,0.09,1.08,1847.51万,6.98亿,1.74,1.7983,1.07万亿,7885.87亿,1000002664,False
179,002948,青岛银行,SZ,5.25,0.77,5.89,21.66|2025年报,-,51.88亿|2025年报,39.92亿|2025三季报,30.65亿|2025半年报,12.58亿|2025一季报,42.64亿|2024年报,-,53.57亿|2025年报,41.25亿|2025三季报,31.52亿|2025半年报,13.02亿|2025一季报,44.05亿|2024年报,0.040,5.27,5.20,1.27,1.02,3954.88万,2.07亿,1.47,0.7495,305.57亿,163.41亿,1000863715,False
180,601336,新华保险,SH,63.89,3.62,5.49,38.34|2025年报,-,362.84亿|2025年报,328.57亿|2025三季报,147.99亿|2025半年报,58.82亿|2025一季报,262.29亿|2024年报,-,362.89亿|2025年报,328.61亿|2025三季报,148.01亿|2025半年报,58.83亿|2025一季报,262.33亿|2024年报,2.230,64.13,61.38,1.41,1.59,2943.50万,18.50亿,1.37,1.7868,1993.08亿,1332.39亿,1000002881,False
181,600841,动力新科,SH,9.56,4.94,4.62,243.67|2025年报,-,28.72亿|2025年报,-3.50亿|2025三季报,-3.01亿|2025半年报,-2.10亿|2025一季报,-19.99亿|2024年报,-,28.72亿|2025年报,-3.50亿|2025三季报,-3.01亿|2025半年报,-2.10亿|2025一季报,-19.99亿|2024年报,0.450,9.71,8.98,4.05,0.99,4227.65万,3.98亿,1.15,2.0792,132.68亿,99.71亿,1000004123,False
