序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
121,600179,安通控股,SH,4.47,0.68,17.42,77.90|2025年报,-,10.86亿|2025年报,6.64亿|2025三季报,5.12亿|2025半年报,2.41亿|2025一季报,6.10亿|2024年报,-,10.86亿|2025年报,6.64亿|2025三季报,5.12亿|2025半年报,2.41亿|2025一季报,6.10亿|2024年报,0.030,4.49,4.42,0.89,1.00,3447.96万,1.54亿,4.35,1.5953,189.15亿,172.64亿,1000001412,False
122,605305,中际联合,SH,43.11,1.32,17.28,68.47|2025年报,-,5.30亿|2025年报,4.38亿|2025三季报,2.62亿|2025半年报,9853.60万|2025一季报,3.15亿|2024年报,-,5.30亿|2025年报,4.38亿|2025三季报,2.62亿|2025半年报,9853.60万|2025一季报,3.15亿|2024年报,0.560,43.48,42.42,3.19,0.59,678.55万,2.92亿,4.32,3.1167,91.62亿,91.62亿,1001958719,False
123,002911,佛燃能源,SZ,13.68,-0.51,17.24,20.77|2025年报,-,10.30亿|2025年报,4.90亿|2025三季报,3.10亿|2025半年报,8102.65万|2025一季报,8.53亿|2024年报,-,11.85亿|2025年报,5.90亿|2025三季报,3.63亿|2025半年报,7598.76万|2025一季报,9.68亿|2024年报,-0.070,13.72,13.48,0.81,0.97,1021.83万,1.39亿,4.31,3.5914,177.59亿,173.33亿,1000010917,False
124,002959,小熊电器,SZ,43.05,0.56,17.09,36.40|2025年报,-,3.93亿|2025年报,2.46亿|2025三季报,2.05亿|2025半年报,1.30亿|2025一季报,2.88亿|2024年报,-,4.20亿|2025年报,2.68亿|2025三季报,2.18亿|2025半年报,1.36亿|2025一季报,3.06亿|2024年报,0.240,43.11,42.59,0.89,0.56,134.08万,5753.45万,4.27,2.2418,67.09亿,64.80亿,1001402309,False
125,002299,圣农发展,SZ,18.71,-0.16,16.85,90.55|2025年报,-,13.80亿|2025年报,11.59亿|2025三季报,9.10亿|2025半年报,1.48亿|2025一季报,7.24亿|2024年报,-,13.87亿|2025年报,11.72亿|2025三季报,9.20亿|2025半年报,1.54亿|2025一季报,7.15亿|2024年报,-0.030,18.82,18.40,0.85,0.81,1033.21万,1.92亿,4.21,2.0746,232.59亿,228.06亿,1000007903,False
126,301109,军信股份,SZ,15.25,1.06,16.79,33.62|2025年报,-,7.17亿|2025年报,6.05亿|2025三季报,4.00亿|2025半年报,1.73亿|2025一季报,5.36亿|2024年报,-,9.94亿|2025年报,8.25亿|2025三季报,5.44亿|2025半年报,2.36亿|2025一季报,6.86亿|2024年报,0.160,15.29,15.06,2.32,0.99,534.24万,8109.25万,4.20,1.5527,120.34亿,35.13亿,1002479170,False
127,601995,中金公司,SH,33.92,1.41,16.72,71.93|2025年报,-,97.91亿|2025年报,65.67亿|2025三季报,43.30亿|2025半年报,20.42亿|2025一季报,56.94亿|2024年报,-,98.00亿|2025年报,65.65亿|2025三季报,43.34亿|2025半年报,20.44亿|2025一季报,56.74亿|2024年报,0.470,34.15,33.78,0.66,1.27,1919.12万,6.51亿,4.18,1.6381,1637.41亿,991.67亿,1002243655,False
128,600079,ST人福,SH,18.98,1.01,16.70,39.53|2025年报,-,18.55亿|2025年报,16.89亿|2025三季报,11.55亿|2025半年报,5.40亿|2025一季报,13.30亿|2024年报,-,24.92亿|2025年报,21.83亿|2025三季报,14.97亿|2025半年报,6.99亿|2025一季报,17.78亿|2024年报,0.190,19.02,18.77,0.83,1.28,1284.41万,2.43亿,4.17,1.6380,309.80亿,292.90亿,1000001745,False
129,300505,川金诺,SZ,27.51,1.66,16.66,157.77|2025年报,-,4.54亿|2025年报,3.04亿|2025三季报,1.77亿|2025半年报,7202.18万|2025一季报,1.76亿|2024年报,-,4.76亿|2025年报,3.19亿|2025三季报,1.86亿|2025半年报,7567.49万|2025一季报,1.85亿|2024年报,0.450,27.58,26.80,7.94,1.09,1725.28万,4.72亿,4.17,2.5911,75.62亿,59.80亿,1000304604,False
130,002140,东华科技,SZ,12.54,1.05,16.66,29.89|2025年报,-,5.33亿|2025年报,3.65亿|2025三季报,2.40亿|2025半年报,1.21亿|2025一季报,4.10亿|2024年报,-,5.20亿|2025年报,3.63亿|2025三季报,2.41亿|2025半年报,1.22亿|2025一季报,3.97亿|2024年报,0.130,12.58,12.36,1.11,1.08,782.06万,9766.40万,4.17,1.8725,88.78亿,88.65亿,1000007256,False
