序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
174,920802,保丽洁,BJ,14.03,0.86,45.12,0.120,14.06,13.72,1.22,0.79,26.88万,374.92万,18.77,2.5981,11.51亿,3.10亿,1000466059,False
175,300224,正海磁材,SZ,14.90,1.43,45.12,0.210,14.95,14.67,1.60,0.70,1484.46万,2.20亿,11.28,2.6962,138.67亿,138.16亿,1000008216,False
176,002080,中材科技,SZ,48.85,0.70,45.10,0.340,50.16,48.03,3.03,0.81,5084.42万,24.95亿,11.27,4.1171,819.76亿,819.76亿,1000006803,False
177,301181,标榜股份,SZ,48.00,1.78,44.99,0.840,50.00,47.08,6.63,0.84,597.80万,2.90亿,15.33,3.8712,55.46亿,43.29亿,1002281119,False
178,301580,爱迪特,SZ,76.34,10.33,44.96,7.150,79.60,68.11,13.04,2.27,938.91万,6.89亿,14.37,3.9025,81.35亿,54.98亿,1003057582,False
179,920039,国义招标,BJ,9.59,0.74,44.95,0.070,9.61,9.49,0.31,0.79,47.09万,450.07万,12.50,2.7472,14.75亿,14.75亿,1000337483,False
180,603269,海鸥股份,SH,15.46,-2.21,44.95,-0.350,15.85,15.39,10.12,1.19,3124.17万,4.86亿,23.29,5.0107,47.73亿,47.73亿,1000492271,False
181,301525,儒竞科技,SZ,73.12,2.39,44.92,1.710,73.50,71.42,2.64,1.23,130.28万,9496.16万,12.86,2.1149,68.96亿,36.12亿,1002876328,False
182,002487,大金重工,SZ,77.70,0.26,44.91,0.200,79.77,75.92,2.86,0.97,1803.75万,14.02亿,11.23,6.0248,495.53亿,490.23亿,1000008196,False
183,603203,快克智能,SH,43.86,1.79,44.91,0.770,44.03,42.66,1.91,0.67,475.47万,2.06亿,14.02,7.6221,111.26亿,109.28亿,1000326746,False
184,601368,绿城水务,SH,4.84,1.04,44.88,0.050,4.85,4.77,0.76,1.06,668.52万,3218.57万,11.22,0.8885,42.74亿,42.74亿,1000010617,False
185,603638,艾迪精密,SH,20.49,1.29,44.86,0.260,20.58,20.23,0.62,1.35,511.31万,1.05亿,13.47,4.9501,170.29亿,170.29亿,1000389015,False
186,000096,广聚能源,SZ,9.71,-0.61,44.83,-0.060,9.79,9.63,1.61,1.12,820.69万,7947.81万,41.79,1.7819,51.27亿,49.60亿,1000001923,False
187,300725,药石科技,SZ,38.56,-1.00,44.82,-0.390,39.15,38.35,3.34,0.85,677.72万,2.61亿,19.88,1.2611,90.16亿,78.17亿,1000950846,False
188,300303,聚飞光电,SZ,9.66,-0.41,44.76,-0.040,9.72,9.47,7.43,0.61,9870.09万,9.49亿,16.22,3.5920,136.86亿,128.40亿,1000006766,False
189,603929,亚翔集成,SH,187.07,0.97,44.74,1.800,188.60,178.74,3.12,0.86,666.04万,12.23亿,11.18,17.3235,399.13亿,399.13亿,1000316523,False
190,600577,精达股份,SH,12.46,0.97,44.73,0.120,12.52,12.21,1.75,0.77,3766.79万,4.68亿,11.18,4.3880,268.03亿,268.03亿,1000000473,False
191,002537,海联金汇,SZ,7.83,0.38,44.71,0.030,7.84,7.76,2.22,0.58,2595.43万,2.02亿,11.45,2.1738,91.93亿,91.55亿,1000008464,False
192,603305,旭升集团,SH,15.18,1.47,44.63,0.220,15.41,15.07,2.19,1.19,2535.72万,3.85亿,14.63,1.9332,175.44亿,175.44亿,1000676360,False
193,605189,富春染织,SH,17.64,6.59,44.62,1.090,17.79,16.56,9.32,0.96,1808.12万,3.13亿,11.16,1.8461,34.24亿,34.24亿,1002224305,False
194,002409,雅克科技,SZ,86.12,0.03,44.60,0.030,87.04,84.80,3.01,0.97,959.19万,8.25亿,12.87,5.2486,409.87亿,274.31亿,1000007919,False
195,300784,利安科技,SZ,50.58,1.48,44.59,0.740,50.72,49.55,3.76,1.00,63.62万,3184.53万,16.46,3.5543,28.44亿,8.56亿,1003083512,False
196,600444,国机通用,SH,17.75,1.43,44.56,0.250,17.84,17.42,2.08,0.85,304.06万,5367.60万,11.14,3.4521,25.99亿,25.99亿,1000002256,False
197,002732,燕塘乳业,SZ,16.29,1.50,44.48,0.240,16.35,15.91,0.97,1.02,151.59万,2449.11万,11.12,1.6989,25.63亿,25.50亿,1000305896,False
198,688411,海博思创,SH,234.34,1.30,44.47,3.010,237.31,230.00,2.54,0.66,336.39万,7.89亿,16.95,8.8306,422.03亿,310.67亿,1003508080,False
199,301156,美农生物,SZ,18.58,1.42,44.42,0.260,18.68,18.10,2.06,1.04,183.78万,3388.23万,15.98,3.6728,26.16亿,16.58亿,1002629585,False
200,603931,格林达,SH,28.39,1.94,44.40,0.540,28.45,27.58,1.05,1.14,208.56万,5848.36万,15.35,3.5115,56.65亿,56.65亿,1001898969,False
