序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,市盈率(TTM)(倍) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,换手率(%) 2026.04.16,量比 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,IN_OPTIONAL
66,920974,凯大催化,BJ,7.56,1.07,48.04,0.080,7.58,7.44,1.23,0.97,157.90万,1187.37万,12.05,1.9391,12.38亿,9.71亿,1000336802,False
67,002523,天桥起重,SZ,4.08,1.24,48.03,0.050,4.09,4.01,1.20,1.06,1699.75万,6899.23万,16.96,2.3071,57.80亿,57.59亿,1000008154,False
68,002998,优彩资源,SZ,9.27,5.58,47.97,0.490,9.33,8.75,6.00,0.84,1622.58万,1.47亿,25.68,1.8717,32.89亿,25.07亿,1001855448,False
69,605128,上海沿浦,SH,35.22,0.03,47.94,0.010,35.55,35.02,0.80,0.93,168.34万,5926.98万,14.69,3.5725,74.36亿,74.36亿,1001670454,False
70,603376,大明电子,SH,33.82,1.11,47.85,0.370,33.97,33.50,3.24,1.04,100.52万,3392.10万,0.00,8.0358,135.28亿,10.50亿,1003354131,False
71,688625,呈和科技,SH,71.54,4.85,47.84,3.310,72.50,67.10,2.79,1.01,525.83万,3.69亿,14.79,8.8917,134.72亿,134.72亿,1002269134,False
72,688472,阿特斯,SH,13.39,1.44,47.77,0.190,13.45,13.09,3.00,0.94,4045.53万,5.40亿,12.33,2.0771,487.82亿,180.45亿,1002681192,False
73,688092,爱科科技,SH,29.42,2.51,47.77,0.720,29.50,28.65,1.36,1.28,112.79万,3284.16万,16.33,3.6859,24.32亿,24.32亿,1002225920,False
74,605198,安德利,SH,47.17,6.77,47.72,2.990,48.10,43.90,1.79,1.84,484.54万,2.25亿,11.93,5.6709,157.64亿,127.61亿,1001716610,False
75,688026,洁特生物,SH,16.38,0.99,47.69,0.160,16.47,16.07,1.15,1.26,161.48万,2630.93万,10.03,1.8906,22.99亿,22.98亿,1001030476,False
