序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
95,001380,华纬科技,SZ,20.04,0.20,19.73,21.49|2025年报,-,2.75亿|2025年报,2.05亿|2025三季报,1.27亿|2025半年报,6384.75万|2025一季报,2.26亿|2024年报,-,2.79亿|2025年报,2.09亿|2025三季报,1.30亿|2025半年报,6584.19万|2025一季报,2.34亿|2024年报,0.040,20.35,20.01,1.67,0.76,146.96万,2962.12万,4.93,2.8153,54.28亿,17.64亿,1003058179,False
96,600356,恒丰纸业,SH,9.16,1.22,19.59,70.72|2025年报,-,1.98亿|2025年报,1.48亿|2025三季报,9493.67万|2025半年报,2802.95万|2025一季报,1.16亿|2024年报,-,2.12亿|2025年报,1.52亿|2025三季报,9634.66万|2025半年报,2837.32万|2025一季报,1.32亿|2024年报,0.110,9.32,9.01,5.49,0.96,1638.95万,1.50亿,3.82,1.0098,30.19亿,27.36亿,1000000766,False
97,603799,华友钴业,SH,62.76,-2.43,19.48,47.07|2025年报,-,61.10亿|2025年报,42.16亿|2025三季报,27.11亿|2025半年报,12.52亿|2025一季报,41.55亿|2024年报,-,75.20亿|2025年报,51.87亿|2025三季报,34.71亿|2025半年报,17.36亿|2025一季报,51.58亿|2024年报,-1.560,65.37,62.61,5.17,1.20,9740.94万,61.97亿,4.87,2.4648,1190.39亿,1182.45亿,1000412125,False
98,601788,光大证券,SH,15.57,-0.76,19.28,21.77|2025年报,-,37.24亿|2025年报,26.78亿|2025三季报,16.83亿|2025半年报,8.19亿|2025一季报,30.58亿|2024年报,-,37.58亿|2025年报,27.06亿|2025三季报,16.96亿|2025半年报,8.24亿|2025一季报,30.86亿|2024年报,-0.120,15.77,15.56,0.30,0.58,1188.68万,1.86亿,4.82,1.1784,717.90亿,608.27亿,1000000061,False
99,000792,盐湖股份,SZ,37.01,-4.76,19.07,81.76|2025年报,-,84.76亿|2025年报,45.03亿|2025三季报,25.15亿|2025半年报,11.45亿|2025一季报,46.63亿|2024年报,-,89.47亿|2025年报,48.36亿|2025三季报,27.09亿|2025半年报,12.60亿|2025一季报,49.14亿|2024年报,-1.850,38.80,37.00,1.92,1.03,1.01亿,38.24亿,5.78,4.3873,1958.41亿,1958.39亿,1000000845,False
100,002345,潮宏基,SZ,10.65,0.85,19.04,156.66|2025年报,-,4.97亿|2025年报,3.17亿|2025三季报,3.31亿|2025半年报,1.89亿|2025一季报,1.94亿|2024年报,-,4.72亿|2025年报,3.16亿|2025三季报,3.33亿|2025半年报,1.90亿|2025一季报,1.69亿|2024年报,0.090,10.74,10.56,1.53,0.86,1325.64万,1.42亿,4.76,2.5141,94.63亿,92.36亿,1000008356,False
101,603588,高能环境,SH,15.20,-3.06,19.04,168.40|2026一季报,6.03亿|2026一季报,8.38亿|2025年报,6.46亿|2025三季报,5.02亿|2025半年报,2.25亿|2025一季报,-,7.22亿|2026一季报,10.39亿|2025年报,7.77亿|2025三季报,5.69亿|2025半年报,2.62亿|2025一季报,-,-0.480,15.66,14.96,7.61,0.88,1.16亿,17.78亿,9.60,2.2593,231.53亿,231.53亿,1000310515,False
102,688336,三生国健,SH,89.28,3.77,19.03,311.49|2025年报,-,28.99亿|2025年报,3.99亿|2025三季报,1.90亿|2025半年报,1.03亿|2025一季报,7.05亿|2024年报,-,28.92亿|2025年报,3.90亿|2025三季报,1.86亿|2025半年报,1.00亿|2025一季报,6.91亿|2024年报,3.240,91.44,84.16,2.26,1.06,1391.21万,12.22亿,4.76,6.5163,551.83亿,550.67亿,1002029707,False
103,601808,中海油服,SH,15.31,-2.48,19.02,22.47|2025年报,-,38.42亿|2025年报,32.09亿|2025三季报,19.64亿|2025半年报,8.87亿|2025一季报,31.37亿|2024年报,-,40.60亿|2025年报,33.91亿|2025三季报,20.77亿|2025半年报,9.37亿|2025一季报,33.99亿|2024年报,-0.390,15.48,15.17,0.95,0.99,2817.44万,4.31亿,4.75,1.5686,730.53亿,453.25亿,1000006720,False
104,002673,西部证券,SZ,7.34,-0.41,18.71,24.97|2025年报,-,17.54亿|2025年报,12.43亿|2025三季报,7.85亿|2025半年报,2.91亿|2025一季报,14.03亿|2024年报,-,18.13亿|2025年报,12.65亿|2025三季报,7.99亿|2025半年报,2.98亿|2025一季报,14.28亿|2024年报,-0.030,7.41,7.33,0.38,0.55,1720.18万,1.27亿,4.68,1.0885,328.07亿,328.07亿,1000001680,False
105,000778,新兴铸管,SZ,4.46,-1.11,18.66,465.67|2025年报,-,9.47亿|2025年报,6.99亿|2025三季报,4.04亿|2025半年报,1.37亿|2025一季报,1.67亿|2024年报,-,10.14亿|2025年报,7.53亿|2025三季报,4.39亿|2025半年报,1.53亿|2025一季报,-2878.24万|2024年报,-0.050,4.53,4.45,0.93,0.56,3620.40万,1.62亿,4.67,0.6702,176.76亿,173.65亿,1000000408,False
106,689009,九号公司-WD,SH,45.18,2.82,18.57,62.17|2025年报,-,17.58亿|2025年报,17.87亿|2025三季报,12.42亿|2025半年报,4.56亿|2025一季报,10.84亿|2024年报,-,17.62亿|2025年报,17.50亿|2025三季报,12.52亿|2025半年报,4.56亿|2025一季报,10.85亿|2024年报,1.240,45.79,44.27,2.76,1.58,1535.87万,6.95亿,4.64,4.5467,326.50亿,251.05亿,1001830005,False
107,601168,西部矿业,SH,28.24,-0.49,18.47,24.26|2025年报,-,36.43亿|2025年报,29.45亿|2025三季报,18.69亿|2025半年报,8.08亿|2025一季报,29.32亿|2024年报,-,61.52亿|2025年报,51.83亿|2025三季报,33.63亿|2025半年报,15.51亿|2025一季报,52.94亿|2024年报,-0.140,29.44,28.15,2.51,1.10,5989.96万,17.26亿,4.62,3.6673,672.96亿,672.96亿,1000007794,False
108,600021,上海电力,SH,18.06,-1.10,18.41,35.26|2025年报,-,27.67亿|2025年报,30.50亿|2025三季报,19.09亿|2025半年报,8.29亿|2025一季报,20.46亿|2024年报,-,52.93亿|2025年报,51.61亿|2025三季报,33.77亿|2025半年报,14.67亿|2025一季报,41.63亿|2024年报,-0.200,18.55,17.99,1.80,1.53,5090.17万,9.26亿,4.60,2.5001,509.51亿,509.51亿,1000001152,False
109,600989,宝丰能源,SH,28.43,-3.63,18.37,79.09|2025年报,-,113.50亿|2025年报,89.50亿|2025三季报,57.18亿|2025半年报,24.37亿|2025一季报,63.38亿|2024年报,-,113.50亿|2025年报,89.50亿|2025三季报,57.18亿|2025半年报,24.37亿|2025一季报,63.38亿|2024年报,-1.070,29.10,28.04,1.78,1.08,1.31亿,37.20亿,4.59,4.3085,2084.87亿,2084.87亿,1001247908,False
110,601377,兴业证券,SH,6.02,-0.33,18.11,32.64|2025年报,-,28.70亿|2025年报,25.21亿|2025三季报,13.30亿|2025半年报,5.16亿|2025一季报,21.64亿|2024年报,-,37.14亿|2025年报,31.98亿|2025三季报,17.23亿|2025半年报,6.97亿|2025一季报,28.97亿|2024年报,-0.020,6.07,5.99,0.79,0.60,6864.27万,4.13亿,4.53,0.9294,519.89亿,519.89亿,1000000057,False
111,002895,川恒股份,SZ,37.66,-0.87,18.11,31.76|2025年报,-,12.60亿|2025年报,9.65亿|2025三季报,5.36亿|2025半年报,2.02亿|2025一季报,9.56亿|2024年报,-,13.35亿|2025年报,10.18亿|2025三季报,5.59亿|2025半年报,2.10亿|2025一季报,9.58亿|2024年报,-0.330,38.45,36.90,1.65,0.98,979.73万,3.68亿,4.53,2.9606,228.18亿,224.06亿,1000712764,False
112,601066,中信建投,SH,21.84,-0.55,17.95,30.68|2025年报,-,94.39亿|2025年报,70.89亿|2025三季报,45.09亿|2025半年报,18.43亿|2025一季报,72.23亿|2024年报,-,94.54亿|2025年报,70.99亿|2025三季报,45.16亿|2025半年报,18.46亿|2025一季报,72.36亿|2024年报,-0.120,22.06,21.82,0.12,0.60,763.12万,1.67亿,4.49,2.0421,1694.06亿,1418.65亿,1001030413,False
113,601899,紫金矿业,SH,34.91,0.32,17.93,61.55|2025年报,-,517.77亿|2025年报,378.64亿|2025三季报,232.92亿|2025半年报,101.67亿|2025一季报,320.51亿|2024年报,-,638.22亿|2025年报,457.01亿|2025三季报,286.45亿|2025半年报,124.65亿|2025一季报,393.93亿|2024年报,0.110,36.00,34.81,1.45,1.12,2.99亿,105.98亿,4.48,5.0468,9282.82亿,7192.09亿,1000001989,False
114,002768,国恩股份,SZ,49.64,-0.86,17.78,24.38|2025年报,-,8.41亿|2025年报,6.15亿|2025三季报,3.46亿|2025半年报,1.11亿|2025一季报,6.76亿|2024年报,-,8.23亿|2025年报,6.20亿|2025三季报,3.47亿|2025半年报,1.14亿|2025一季报,7.09亿|2024年报,-0.430,50.88,49.51,2.11,1.23,372.21万,1.86亿,4.44,2.6090,149.54亿,87.74亿,1000305973,False
115,605305,中际联合,SH,42.55,-5.34,17.56,68.47|2025年报,-,5.30亿|2025年报,4.38亿|2025三季报,2.62亿|2025半年报,9853.60万|2025一季报,3.15亿|2024年报,-,5.30亿|2025年报,4.38亿|2025三季报,2.62亿|2025半年报,9853.60万|2025一季报,3.15亿|2024年报,-2.400,44.95,42.38,6.71,1.33,1426.58万,6.13亿,4.26,3.0762,90.43亿,90.43亿,1001958719,False
116,002616,长青集团,SZ,5.71,-1.21,17.51,29.33|2025年报,-,2.80亿|2025年报,2.02亿|2025三季报,1.21亿|2025半年报,8104.70万|2025一季报,2.17亿|2024年报,-,2.83亿|2025年报,2.03亿|2025三季报,1.22亿|2025半年报,8166.73万|2025一季报,2.19亿|2024年报,-0.070,5.79,5.69,1.95,0.68,1146.07万,6557.97万,4.37,1.3552,49.03亿,33.51亿,1000010133,False
117,002911,佛燃能源,SZ,13.75,-0.65,17.33,20.77|2025年报,-,10.30亿|2025年报,4.90亿|2025三季报,3.10亿|2025半年报,8102.65万|2025一季报,8.53亿|2024年报,-,11.85亿|2025年报,5.90亿|2025三季报,3.63亿|2025半年报,7598.76万|2025一季报,9.68亿|2024年报,-0.090,14.16,13.59,1.14,1.55,1439.43万,1.98亿,4.33,3.6098,178.50亿,174.22亿,1000010917,False
118,600179,安通控股,SH,4.44,0.00,17.30,77.90|2025年报,-,10.86亿|2025年报,6.64亿|2025三季报,5.12亿|2025半年报,2.41亿|2025一季报,6.10亿|2024年报,-,10.86亿|2025年报,6.64亿|2025三季报,5.12亿|2025半年报,2.41亿|2025一季报,6.10亿|2024年报,0.000,4.49,4.42,0.82,0.85,3156.52万,1.41亿,4.33,1.5846,187.88亿,171.49亿,1000001412,False
119,002959,小熊电器,SZ,42.81,-0.51,17.00,36.40|2025年报,-,3.93亿|2025年报,2.46亿|2025三季报,2.05亿|2025半年报,1.30亿|2025一季报,2.88亿|2024年报,-,4.20亿|2025年报,2.68亿|2025三季报,2.18亿|2025半年报,1.36亿|2025一季报,3.06亿|2024年报,-0.220,43.01,42.69,0.88,0.50,132.84万,5688.25万,4.25,2.2293,66.71亿,64.44亿,1001402309,False
120,002299,圣农发展,SZ,18.74,-0.85,16.88,90.55|2025年报,-,13.80亿|2025年报,11.59亿|2025三季报,9.10亿|2025半年报,1.48亿|2025一季报,7.24亿|2024年报,-,13.87亿|2025年报,11.72亿|2025三季报,9.20亿|2025半年报,1.54亿|2025一季报,7.15亿|2024年报,-0.160,18.92,18.55,0.83,0.79,1007.42万,1.89亿,4.22,2.0780,232.96亿,228.43亿,1000007903,False
121,603259,药明康德,SH,106.83,0.26,16.64,102.65|2025年报,-,191.51亿|2025年报,120.76亿|2025三季报,85.61亿|2025半年报,36.72亿|2025一季报,94.50亿|2024年报,-,193.33亿|2025年报,122.06亿|2025三季报,86.60亿|2025半年报,37.15亿|2025一季报,95.68亿|2024年报,0.280,108.75,105.44,1.49,1.01,3678.46万,39.24亿,4.16,3.9988,3187.55亿,2642.21亿,1001042696,False
122,301109,军信股份,SZ,15.09,0.00,16.62,33.62|2025年报,-,7.17亿|2025年报,6.05亿|2025三季报,4.00亿|2025半年报,1.73亿|2025一季报,5.36亿|2024年报,-,9.94亿|2025年报,8.25亿|2025三季报,5.44亿|2025半年报,2.36亿|2025一季报,6.86亿|2024年报,0.000,15.19,15.09,1.95,0.73,449.04万,6796.84万,4.15,1.5364,119.08亿,34.76亿,1002479170,False
123,600660,福耀玻璃,SH,59.03,0.79,16.54,24.20|2025年报,-,93.12亿|2025年报,70.64亿|2025三季报,48.05亿|2025半年报,20.30亿|2025一季报,74.98亿|2024年报,-,93.17亿|2025年报,70.68亿|2025三季报,48.08亿|2025半年报,20.31亿|2025一季报,75.04亿|2024年报,0.460,59.20,58.57,0.54,1.05,1085.26万,6.39亿,4.14,4.1019,1540.53亿,1182.36亿,1000002179,False
124,600079,ST人福,SH,18.79,1.35,16.53,39.53|2025年报,-,18.55亿|2025年报,16.89亿|2025三季报,11.55亿|2025半年报,5.40亿|2025一季报,13.30亿|2024年报,-,24.92亿|2025年报,21.83亿|2025三季报,14.97亿|2025半年报,6.99亿|2025一季报,17.78亿|2024年报,0.250,18.88,18.61,0.82,1.30,1257.75万,2.36亿,4.13,1.6216,306.70亿,289.96亿,1000001745,False
125,601995,中金公司,SH,33.45,-0.42,16.49,71.93|2025年报,-,97.91亿|2025年报,65.67亿|2025三季报,43.30亿|2025半年报,20.42亿|2025一季报,56.94亿|2024年报,-,98.00亿|2025年报,65.65亿|2025三季报,43.34亿|2025半年报,20.44亿|2025一季报,56.74亿|2024年报,-0.140,33.70,33.40,0.32,0.57,942.57万,3.16亿,4.12,1.6154,1614.72亿,977.92亿,1002243655,False
126,002140,东华科技,SZ,12.41,-0.48,16.49,29.89|2025年报,-,5.33亿|2025年报,3.65亿|2025三季报,2.40亿|2025半年报,1.21亿|2025一季报,4.10亿|2024年报,-,5.20亿|2025年报,3.63亿|2025三季报,2.41亿|2025半年报,1.22亿|2025一季报,3.97亿|2024年报,-0.060,12.49,12.32,1.11,0.95,784.78万,9738.55万,4.12,1.8531,87.86亿,87.73亿,1000007256,False
127,300505,川金诺,SZ,27.06,-2.31,16.39,157.77|2025年报,-,4.54亿|2025年报,3.04亿|2025三季报,1.77亿|2025半年报,7202.18万|2025一季报,1.76亿|2024年报,-,4.76亿|2025年报,3.19亿|2025三季报,1.86亿|2025半年报,7567.49万|2025一季报,1.85亿|2024年报,-0.640,27.98,26.95,7.15,0.85,1554.21万,4.24亿,4.10,2.5487,74.38亿,58.82亿,1000304604,False
128,002648,卫星化学,SZ,27.92,-6.87,16.05,34.97|2026一季报,21.17亿|2026一季报,53.11亿|2025年报,37.55亿|2025三季报,27.44亿|2025半年报,15.68亿|2025一季报,-,21.17亿|2026一季报,53.05亿|2025年报,37.55亿|2025三季报,27.42亿|2025半年报,15.68亿|2025一季报,-,-2.060,29.73,27.70,2.44,1.34,8212.45万,23.21亿,11.11,2.6529,940.53亿,939.92亿,1000009284,False
129,600104,上汽集团,SH,14.04,-0.50,15.97,506.45|2025年报,-,101.06亿|2025年报,81.01亿|2025三季报,60.18亿|2025半年报,30.23亿|2025一季报,16.66亿|2024年报,-,174.44亿|2025年报,119.99亿|2025三季报,83.19亿|2025半年报,40.05亿|2025一季报,58.33亿|2024年报,-0.070,14.16,14.03,0.32,0.84,3694.55万,5.20亿,3.99,0.5401,1613.94亿,1613.94亿,1000002328,False
130,600415,小商品城,SH,12.22,-0.41,15.94,36.76|2025年报,-,42.04亿|2025年报,34.57亿|2025三季报,16.91亿|2025半年报,8.03亿|2025一季报,30.74亿|2024年报,-,42.16亿|2025年报,34.65亿|2025三季报,16.97亿|2025半年报,8.04亿|2025一季报,30.78亿|2024年报,-0.050,12.37,12.20,1.26,0.60,6919.64万,8.49亿,3.99,2.9201,670.09亿,670.09亿,1000000004,False
131,600983,惠而浦,SH,10.78,-0.83,15.90,157.55|2025年报,-,5.20亿|2025年报,3.17亿|2025三季报,2.16亿|2025半年报,1.16亿|2025一季报,2.02亿|2024年报,-,5.20亿|2025年报,3.17亿|2025三季报,2.16亿|2025半年报,1.16亿|2025一季报,2.02亿|2024年报,-0.090,10.99,10.67,1.18,0.79,904.86万,9743.12万,3.97,2.7759,82.62亿,82.62亿,1000002023,False
132,603444,吉比特,SH,393.34,10.00,15.80,89.82|2025年报,-,17.94亿|2025年报,12.14亿|2025三季报,6.45亿|2025半年报,2.83亿|2025一季报,9.45亿|2024年报,-,21.46亿|2025年报,15.08亿|2025三季报,8.20亿|2025半年报,3.79亿|2025一季报,11.79亿|2024年报,35.760,393.34,369.99,5.16,1.99,371.49万,14.43亿,3.95,5.1422,283.37亿,283.37亿,1000319586,False
133,300138,晨光生物,SZ,12.03,-0.50,15.76,292.21|2025年报,-,3.69亿|2025年报,3.04亿|2025三季报,2.15亿|2025半年报,1.09亿|2025一季报,9404.96万|2024年报,-,3.75亿|2025年报,3.11亿|2025三季报,2.21亿|2025半年报,1.11亿|2025一季报,7795.71万|2024年报,-0.060,12.18,12.00,1.23,0.72,491.69万,5926.75万,3.94,1.7148,58.12亿,47.92亿,1000008202,False
134,603326,我乐家居,SH,8.55,-0.58,15.65,43.56|2025年报,-,1.74亿|2025年报,1.38亿|2025三季报,9231.01万|2025半年报,4014.82万|2025一季报,1.21亿|2024年报,-,1.74亿|2025年报,1.38亿|2025三季报,9231.01万|2025半年报,4014.82万|2025一季报,1.21亿|2024年报,-0.050,8.67,8.51,0.97,0.77,310.36万,2660.12万,3.91,2.3066,27.29亿,27.29亿,1000625541,False
135,600575,淮河能源,SH,3.68,-0.27,15.54,97.90|2025年报,-,16.98亿|2025年报,7.52亿|2025三季报,4.48亿|2025半年报,2.66亿|2025一季报,8.58亿|2024年报,-,21.51亿|2025年报,7.92亿|2025三季报,4.80亿|2025半年报,2.94亿|2025一季报,9.15亿|2024年报,-0.010,3.72,3.66,0.88,0.84,3420.21万,1.26亿,3.88,1.2001,263.74亿,143.01亿,1000001707,False
136,600125,铁龙物流,SH,6.24,0.32,15.52,37.48|2025年报,-,5.25亿|2025年报,5.48亿|2025三季报,3.79亿|2025半年报,2.02亿|2025一季报,3.82亿|2024年报,-,5.21亿|2025年报,5.45亿|2025三季报,3.77亿|2025半年报,2.01亿|2025一季报,3.82亿|2024年报,0.020,6.25,6.16,2.00,0.53,2616.18万,1.62亿,3.88,1.0688,81.46亿,81.46亿,1000002405,False
137,920735,德源药业,BJ,31.26,0.32,15.48,33.87|2025年报,-,2.37亿|2025年报,1.59亿|2025三季报,9778.55万|2025半年报,4644.30万|2025一季报,1.77亿|2024年报,-,2.37亿|2025年报,1.59亿|2025三季报,9778.55万|2025半年报,4644.30万|2025一季报,1.77亿|2024年报,0.100,31.98,31.20,2.14,1.18,221.56万,7002.13万,3.87,2.8061,36.67亿,32.43亿,1000466079,False
138,000157,中联重科,SZ,8.68,-0.12,15.45,38.01|2025年报,-,48.58亿|2025年报,39.20亿|2025三季报,27.65亿|2025半年报,14.10亿|2025一季报,35.20亿|2024年报,-,51.07亿|2025年报,41.05亿|2025三季报,29.00亿|2025半年报,15.16亿|2025一季报,40.09亿|2024年报,-0.010,8.83,8.65,0.87,0.87,6175.79万,5.38亿,3.86,1.3040,750.69亿,613.65亿,1000001930,False
139,601333,广深铁路,SH,3.05,0.00,15.15,34.49|2025年报,-,14.26亿|2025年报,14.56亿|2025三季报,11.09亿|2025半年报,4.68亿|2025一季报,10.60亿|2024年报,-,14.25亿|2025年报,14.56亿|2025三季报,11.09亿|2025半年报,4.69亿|2025一季报,10.59亿|2024年报,0.000,3.06,3.04,0.47,0.53,2647.33万,8075.59万,3.79,0.7636,216.05亿,172.39亿,1000004424,False
140,601901,方正证券,SH,7.14,-0.14,14.81,79.85|2025年报,-,39.70亿|2025年报,37.99亿|2025三季报,23.84亿|2025半年报,11.95亿|2025一季报,22.07亿|2024年报,-,39.12亿|2025年报,37.11亿|2025三季报,22.82亿|2025半年报,11.79亿|2025一季报,21.67亿|2024年报,-0.010,7.18,7.12,0.49,0.61,4069.81万,2.91亿,3.70,1.1591,587.77亿,587.77亿,1000000058,False
141,002393,力生制药,SZ,23.75,1.84,14.70,125.59|2025年报,-,4.16亿|2025年报,3.71亿|2025三季报,3.43亿|2025半年报,5527.53万|2025一季报,1.85亿|2024年报,-,4.23亿|2025年报,3.74亿|2025三季报,3.45亿|2025半年报,5657.09万|2025一季报,1.86亿|2024年报,0.430,23.85,23.25,2.87,1.42,718.01万,1.70亿,3.67,1.3443,61.18亿,59.45亿,1000006684,False
142,000612,焦作万方,SZ,13.16,-2.95,14.65,81.95|2025年报,-,10.71亿|2025年报,9.06亿|2025三季报,5.36亿|2025半年报,1.61亿|2025一季报,5.89亿|2024年报,-,10.71亿|2025年报,9.06亿|2025三季报,5.36亿|2025半年报,1.61亿|2025一季报,5.89亿|2024年报,-0.400,13.71,13.15,4.85,0.84,5777.54万,7.72亿,3.66,2.1819,156.89亿,156.76亿,1000004171,False
143,002039,黔源电力,SZ,20.54,-1.72,14.63,175.02|2025年报,-,6.00亿|2025年报,4.93亿|2025三季报,1.27亿|2025半年报,5184.65万|2025一季报,2.18亿|2024年报,-,11.15亿|2025年报,8.91亿|2025三季报,2.38亿|2025半年报,9845.19万|2025一季报,4.00亿|2024年报,-0.360,21.02,20.32,3.36,0.68,1434.69万,2.96亿,3.66,1.9775,87.82亿,87.82亿,1000001732,False
144,002170,芭田股份,SZ,13.45,0.15,14.60,122.79|2025年报,-,9.12亿|2025年报,6.87亿|2025三季报,4.56亿|2025半年报,1.71亿|2025一季报,4.09亿|2024年报,-,9.12亿|2025年报,6.88亿|2025三季报,4.57亿|2025半年报,1.71亿|2025一季报,4.10亿|2024年报,0.020,13.78,13.35,5.73,1.51,4507.76万,6.10亿,3.58,3.4728,130.51亿,105.87亿,1000006770,False
145,600066,宇通客车,SH,36.45,-0.82,14.53,34.94|2025年报,-,55.54亿|2025年报,32.92亿|2025三季报,19.36亿|2025半年报,7.55亿|2025一季报,41.16亿|2024年报,-,56.25亿|2025年报,33.64亿|2025三季报,19.73亿|2025半年报,7.73亿|2025一季报,41.54亿|2024年报,-0.300,36.98,36.14,0.90,0.89,1990.66万,7.24亿,3.63,5.1723,806.98亿,806.98亿,1000001694,False
146,002128,电投能源,SZ,32.78,3.80,14.52,28.35|2026一季报,20.01亿|2026一季报,54.19亿|2025年报,41.18亿|2025三季报,27.87亿|2025半年报,15.59亿|2025一季报,-,26.08亿|2026一季报,65.30亿|2025年报,49.48亿|2025三季报,32.98亿|2025半年报,17.45亿|2025一季报,-,1.200,32.80,31.52,1.34,1.85,3013.57万,9.80亿,9.18,1.8507,734.79亿,734.79亿,1000007108,False
147,002852,道道全,SZ,9.77,-0.91,14.39,32.02|2025年报,-,2.34亿|2025年报,2.16亿|2025三季报,1.81亿|2025半年报,1.03亿|2025一季报,1.77亿|2024年报,-,2.42亿|2025年报,2.23亿|2025三季报,1.86亿|2025半年报,1.07亿|2025一季报,1.79亿|2024年报,-0.090,9.86,9.76,1.20,0.69,342.08万,3348.56万,3.60,1.5246,33.61亿,27.92亿,1000460211,False
148,600958,东方证券,SH,9.28,-0.64,14.00,68.16|2025年报,-,56.34亿|2025年报,51.10亿|2025三季报,34.63亿|2025半年报,14.36亿|2025一季报,33.50亿|2024年报,-,56.34亿|2025年报,51.10亿|2025三季报,34.63亿|2025半年报,14.36亿|2025一季报,33.50亿|2024年报,-0.060,9.38,9.26,0.45,0.57,3346.49万,3.12亿,3.50,0.9895,788.49亿,693.17亿,1000304609,False
149,600909,华安证券,SH,5.72,-0.69,13.63,41.92|2025年报,-,21.08亿|2025年报,18.83亿|2025三季报,10.35亿|2025半年报,5.25亿|2025一季报,14.86亿|2024年报,-,21.11亿|2025年报,18.90亿|2025三季报,10.35亿|2025半年报,5.24亿|2025一季报,14.89亿|2024年报,-0.040,5.79,5.71,0.72,0.57,3596.49万,2.06亿,3.41,1.1233,287.38亿,287.38亿,1000304178,False
150,000933,神火股份,SZ,33.76,-3.02,13.59,223.28|2026一季报,22.90亿|2026一季报,40.05亿|2025年报,34.90亿|2025三季报,19.04亿|2025半年报,7.08亿|2025一季报,-,28.75亿|2026一季报,45.63亿|2025年报,42.26亿|2025三季报,22.50亿|2025半年报,7.84亿|2025一季报,-,-1.050,34.59,33.62,2.05,0.87,4610.99万,15.70亿,8.29,2.8231,759.26亿,758.73亿,1000001335,False
151,600061,国投资本,SH,6.97,-0.43,13.59,21.71|2025年报,-,32.79亿|2025年报,28.53亿|2025三季报,17.00亿|2025半年报,6.80亿|2025一季报,26.94亿|2024年报,-,36.28亿|2025年报,32.05亿|2025三季报,18.93亿|2025半年报,7.97亿|2025一季报,31.98亿|2024年报,-0.030,7.02,6.96,0.30,0.54,1892.99万,1.32亿,3.40,0.8225,445.66亿,445.66亿,1000002508,False
152,600507,方大特钢,SH,5.50,-0.18,13.50,280.18|2025年报,-,9.42亿|2025年报,7.89亿|2025三季报,4.05亿|2025半年报,2.50亿|2025一季报,2.48亿|2024年报,-,9.48亿|2025年报,7.91亿|2025三季报,4.06亿|2025半年报,2.51亿|2025一季报,2.52亿|2024年报,-0.010,5.56,5.49,0.66,0.63,1517.83万,8371.60万,3.38,1.2530,127.23亿,127.23亿,1000001146,False
153,002546,新联电子,SZ,9.29,-1.38,13.40,116.86|2025年报,-,5.78亿|2025年报,5.35亿|2025三季报,1.88亿|2025半年报,1.07亿|2025一季报,2.67亿|2024年报,-,5.79亿|2025年报,5.36亿|2025三季报,1.88亿|2025半年报,1.07亿|2025一季报,2.65亿|2024年报,-0.130,9.50,9.25,4.72,1.50,3778.35万,3.53亿,3.35,2.0422,77.48亿,74.43亿,1000008097,False
154,000932,华菱钢铁,SZ,5.03,-0.40,13.20,28.49|2025年报,-,26.11亿|2025年报,25.10亿|2025三季报,17.48亿|2025半年报,5.62亿|2025一季报,20.32亿|2024年报,-,38.70亿|2025年报,33.64亿|2025三季报,23.10亿|2025半年报,8.32亿|2025一季报,32.00亿|2024年报,-0.020,5.08,5.02,0.81,0.77,5518.95万,2.78亿,3.30,0.6188,344.69亿,344.69亿,1000001234,False
155,300926,博俊科技,SZ,25.52,-2.18,13.13,37.68|2025年报,-,8.44亿|2025年报,6.27亿|2025三季报,3.52亿|2025半年报,1.49亿|2025一季报,6.13亿|2024年报,-,8.44亿|2025年报,6.27亿|2025三季报,3.52亿|2025半年报,1.49亿|2025一季报,6.13亿|2024年报,-0.570,26.24,25.45,1.51,0.75,451.36万,1.16亿,3.28,3.1773,110.84亿,76.05亿,1001898962,False
156,000028,国药一致,SZ,26.45,3.32,12.96,76.80|2025年报,-,11.36亿|2025年报,9.57亿|2025三季报,6.66亿|2025半年报,3.28亿|2025一季报,6.42亿|2024年报,-,11.28亿|2025年报,10.19亿|2025三季报,7.13亿|2025半年报,3.48亿|2025一季报,2.37亿|2024年报,0.850,26.55,25.70,2.06,1.66,984.54万,2.58亿,3.24,0.7910,147.21亿,126.44亿,1000000205,False
