序号,代码,名称,市场代码简称,最新价(元) 2026.04.15,涨跌幅(%) 2026.04.15,市盈率(TTM)(倍) 2026.04.15,归属母公司股东的净利润最新同比增长率 截至2026.03.31最新,归属母公司股东的净利润(元) 2026.03.31,归属母公司股东的净利润(元) 2025.12.31,归属母公司股东的净利润(元) 2025.09.30,归属母公司股东的净利润(元) 2025.06.30,归属母公司股东的净利润(元) 2025.03.31,归属母公司股东的净利润(元) 2024.12.31,净利润(元) 2026.03.31,净利润(元) 2025.12.31,净利润(元) 2025.09.30,净利润(元) 2025.06.30,净利润(元) 2025.03.31,净利润(元) 2024.12.31,涨跌额(元) 2026.04.15,最高价(元) 2026.04.15,最低价(元) 2026.04.15,换手率(%) 2026.04.15,量比 2026.04.15,成交量(股) 2026.04.15,成交额(元) 2026.04.15,市盈率(动)(倍) 2026.04.15,市净率(倍) 2026.04.15,总市值(元) 2026.04.15,流通市值(元) 2026.04.15,CHOICE_INNER_CODE,IN_OPTIONAL
51,605499,东鹏饮料,SH,193.50,1.19,24.75,32.72|2025年报,-,44.15亿|2025年报,37.61亿|2025三季报,23.75亿|2025半年报,9.80亿|2025一季报,33.27亿|2024年报,-,44.14亿|2025年报,37.60亿|2025三季报,23.75亿|2025半年报,9.80亿|2025一季报,33.26亿|2024年报,2.270,195.57,190.00,1.11,1.25,575.09万,11.14亿,6.19,11.6000,1092.83亿,1006.23亿,1002224299,False
52,300644,南京聚隆,SZ,29.55,0.41,24.68,57.05|2025年报,-,1.32亿|2025年报,1.01亿|2025三季报,5736.44万|2025半年报,3052.77万|2025一季报,8433.97万|2024年报,-,1.35亿|2025年报,1.03亿|2025三季报,5838.36万|2025半年报,3079.17万|2025一季报,8709.61万|2024年报,0.120,30.42,29.45,4.26,1.03,377.69万,1.13亿,6.17,3.1124,32.70亿,26.18亿,1001002449,False
53,001210,金房能源,SZ,21.08,0.33,24.59,176.06|2025年报,-,1.34亿|2025年报,8980.32万|2025三季报,1.20亿|2025半年报,1.30亿|2025一季报,4868.99万|2024年报,-,1.25亿|2025年报,8627.42万|2025三季报,1.18亿|2025半年报,1.32亿|2025一季报,5219.22万|2024年报,0.070,21.29,20.88,2.60,1.20,247.51万,5237.57万,6.15,2.4639,33.06亿,20.09亿,1001090153,False
54,002258,利尔化学,SZ,14.55,-0.95,24.33,122.33|2025年报,-,4.79亿|2025年报,3.81亿|2025三季报,2.71亿|2025半年报,1.53亿|2025一季报,2.15亿|2024年报,-,5.81亿|2025年报,4.51亿|2025三季报,3.27亿|2025半年报,1.86亿|2025一季报,2.98亿|2024年报,-0.140,14.77,14.47,1.12,0.74,894.38万,1.30亿,6.08,1.4764,116.46亿,116.28亿,1000007534,False
55,300001,特锐德,SZ,28.64,-0.69,24.32,35.62|2025年报,-,12.43亿|2025年报,6.86亿|2025三季报,3.27亿|2025半年报,6477.73万|2025一季报,9.17亿|2024年报,-,13.14亿|2025年报,6.90亿|2025三季报,3.24亿|2025半年报,4639.30万|2025一季报,9.39亿|2024年报,-0.200,29.29,28.57,2.33,0.85,2409.99万,6.98亿,6.08,3.5374,302.31亿,296.40亿,1000008188,False
56,600621,华鑫股份,SH,14.16,-0.84,23.63,73.98|2025年报,-,6.36亿|2025年报,5.06亿|2025三季报,2.24亿|2025半年报,1.37亿|2025一季报,3.65亿|2024年报,-,6.36亿|2025年报,5.06亿|2025三季报,2.24亿|2025半年报,1.37亿|2025一季报,3.66亿|2024年报,-0.120,14.35,14.12,0.85,0.62,905.18万,1.29亿,5.91,1.6332,150.22亿,150.22亿,1000000915,False
57,002860,星帅尔,SZ,13.10,5.14,23.62,38.86|2025年报,-,2.00亿|2025年报,1.77亿|2025三季报,1.22亿|2025半年报,6429.95万|2025一季报,1.44亿|2024年报,-,2.01亿|2025年报,1.79亿|2025三季报,1.22亿|2025半年报,6530.10万|2025一季报,1.47亿|2024年报,0.640,13.18,12.43,5.35,3.41,1881.74万,2.42亿,5.90,2.0568,47.12亿,46.05亿,1000498864,False
58,601002,晋亿实业,SH,5.99,-2.60,23.60,86.12|2025年报,-,2.42亿|2025年报,1.63亿|2025三季报,1.17亿|2025半年报,5755.73万|2025一季报,1.30亿|2024年报,-,2.43亿|2025年报,1.64亿|2025三季报,1.18亿|2025半年报,5789.29万|2025一季报,1.31亿|2024年报,-0.160,6.09,5.94,5.42,0.80,5176.67万,3.10亿,5.90,1.3204,57.17亿,57.17亿,1000006541,False
59,300866,安克创新,SZ,111.85,-2.36,23.56,20.37|2025年报,-,25.45亿|2025年报,19.33亿|2025三季报,11.67亿|2025半年报,4.96亿|2025一季报,21.14亿|2024年报,-,26.17亿|2025年报,19.69亿|2025三季报,11.66亿|2025半年报,5.24亿|2025一季报,22.11亿|2024年报,-2.700,114.52,110.57,2.11,0.82,648.11万,7.27亿,5.89,5.6988,599.69亿,343.97亿,1001855434,False
60,920028,新恒泰,BJ,15.83,0.70,23.39,21.21|2025年报,-,1.11亿|2025年报,7465.30万|2025三季报,5134.50万|2025半年报,2045.48万|2025一季报,9176.43万|2024年报,-,1.11亿|2025年报,7465.30万|2025三季报,5134.50万|2025半年报,2045.48万|2025一季报,9176.43万|2024年报,0.110,16.21,15.71,10.52,0.93,447.60万,7132.29万,0.00,2.3341,26.02亿,6.74亿,1004168319,False
61,600236,桂冠电力,SH,9.68,-1.22,23.27,43.63|2025年报,-,32.80亿|2025年报,24.19亿|2025三季报,11.88亿|2025半年报,5.43亿|2025一季报,22.83亿|2024年报,-,37.13亿|2025年报,27.66亿|2025三季报,13.65亿|2025半年报,6.09亿|2025一季报,26.36亿|2024年报,-0.120,9.83,9.62,0.15,0.74,1183.84万,1.15亿,5.82,4.1812,763.01亿,763.01亿,1000001805,False
62,603271,永杰新材,SH,48.75,2.22,23.09,30.00|2025年报,-,4.15亿|2025年报,3.09亿|2025三季报,1.86亿|2025半年报,7571.27万|2025一季报,3.19亿|2024年报,-,4.15亿|2025年报,3.09亿|2025三季报,1.86亿|2025半年报,7571.27万|2025一季报,3.19亿|2024年报,1.060,49.26,47.50,3.77,1.40,356.36万,1.73亿,5.77,3.2800,95.90亿,46.11亿,1003139200,False
63,600295,鄂尔多斯,SH,15.00,7.53,22.91,27.93|2025年报,-,23.63亿|2025年报,17.06亿|2025三季报,9.89亿|2025半年报,4.59亿|2025一季报,18.47亿|2024年报,-,26.66亿|2025年报,20.42亿|2025三季报,11.74亿|2025半年报,5.13亿|2025一季报,19.68亿|2024年报,1.050,15.33,14.49,1.29,1.90,2546.00万,3.82亿,4.44,1.9265,419.82亿,296.34亿,1000001421,False
64,603025,大豪科技,SH,14.57,0.28,22.91,21.54|2025年报,-,7.10亿|2025年报,6.01亿|2025三季报,3.99亿|2025半年报,1.68亿|2025一季报,5.84亿|2024年报,-,7.59亿|2025年报,6.34亿|2025三季报,4.23亿|2025半年报,1.79亿|2025一季报,6.24亿|2024年报,0.040,15.05,14.56,1.52,1.11,1686.88万,2.49亿,5.73,5.9777,162.70亿,161.61亿,1000309734,False
65,605020,永和股份,SH,25.09,-1.76,22.82,123.46|2025年报,-,5.62亿|2025年报,4.69亿|2025三季报,2.71亿|2025半年报,9739.00万|2025一季报,2.51亿|2024年报,-,5.62亿|2025年报,4.70亿|2025三季报,2.72亿|2025半年报,9790.42万|2025一季报,2.52亿|2024年报,-0.450,25.83,25.07,1.55,1.03,780.48万,1.98亿,5.70,2.2292,128.15亿,126.17亿,1002268501,False
66,000531,穗恒运Ａ,SZ,6.62,-0.90,22.79,81.54|2025年报,-,3.02亿|2025年报,4.39亿|2025三季报,2.17亿|2025半年报,9745.84万|2025一季报,1.67亿|2024年报,-,2.54亿|2025年报,4.56亿|2025三季报,2.34亿|2025半年报,1.03亿|2025一季报,1.96亿|2024年报,-0.060,6.72,6.61,1.88,0.83,1709.29万,1.14亿,5.70,1.0220,68.94亿,60.23亿,1000004100,False
67,300043,星辉娱乐,SZ,5.51,-0.54,22.73,165.89|2025年报,-,3.02亿|2025年报,2.68亿|2025三季报,1.55亿|2025半年报,-4758.44万|2025一季报,-4.58亿|2024年报,-,3.02亿|2025年报,2.69亿|2025三季报,1.55亿|2025半年报,-4769.35万|2025一季报,-4.59亿|2024年报,-0.030,5.62,5.50,2.19,0.88,2719.30万,1.51亿,5.68,3.9164,68.56亿,68.52亿,1000008359,False
68,600031,三一重工,SH,20.66,-0.96,22.59,40.71|2025年报,-,84.08亿|2025年报,71.36亿|2025三季报,52.16亿|2025半年报,24.71亿|2025一季报,59.75亿|2024年报,-,84.88亿|2025年报,72.39亿|2025三季报,52.85亿|2025半年报,25.02亿|2025一季报,60.93亿|2024年报,-0.200,21.14,20.64,0.73,0.86,6188.20万,12.90亿,5.65,2.1506,1899.69亿,1750.81亿,1000000456,False
69,300259,新天科技,SZ,4.81,-1.03,22.45,30.81|2025年报,-,2.51亿|2025年报,1.60亿|2025三季报,7890.33万|2025半年报,2720.73万|2025一季报,1.92亿|2024年报,-,2.51亿|2025年报,1.59亿|2025三季报,7889.99万|2025半年报,2720.57万|2025一季报,1.92亿|2024年报,-0.050,4.89,4.77,2.28,1.05,2671.99万,1.29亿,5.61,1.8429,56.27亿,56.25亿,1000009777,False
70,300140,节能环境,SZ,6.29,-0.79,22.38,43.89|2025年报,-,8.71亿|2025年报,8.83亿|2025三季报,5.45亿|2025半年报,2.82亿|2025一季报,6.05亿|2024年报,-,8.94亿|2025年报,9.08亿|2025三季报,5.61亿|2025半年报,2.89亿|2025一季报,6.29亿|2024年报,-0.050,6.44,6.27,2.37,1.04,2414.44万,1.53亿,5.59,1.3888,194.93亿,64.17亿,1000007192,False
71,601061,中信金属,SH,12.23,-0.49,22.28,20.16|2025年报,-,26.89亿|2025年报,23.26亿|2025三季报,14.48亿|2025半年报,5.71亿|2025一季报,22.38亿|2024年报,-,26.89亿|2025年报,23.26亿|2025三季报,14.48亿|2025半年报,5.71亿|2025一季报,22.38亿|2024年报,-0.060,12.53,12.20,0.30,0.94,1470.49万,1.82亿,5.57,2.5788,599.27亿,599.27亿,1002877128,False
72,600738,丽尚国潮,SH,4.79,-1.03,22.24,126.02|2025年报,-,1.64亿|2025年报,1.16亿|2025三季报,7973.18万|2025半年报,5884.93万|2025一季报,7255.25万|2024年报,-,1.60亿|2025年报,1.12亿|2025三季报,7596.80万|2025半年报,5722.45万|2025一季报,4647.22万|2024年报,-0.050,4.86,4.78,1.08,0.71,818.92万,3936.84万,5.56,1.7419,36.47亿,36.44亿,1000002144,False
73,300119,瑞普生物,SZ,19.03,3.82,22.08,33.18|2025年报,-,4.01亿|2025年报,3.62亿|2025三季报,2.57亿|2025半年报,1.16亿|2025一季报,3.01亿|2024年报,-,4.34亿|2025年报,3.91亿|2025三季报,2.72亿|2025半年报,1.20亿|2025一季报,3.30亿|2024年报,0.700,19.13,18.23,3.06,1.57,1021.85万,1.92亿,5.52,1.8805,88.44亿,63.49亿,1000008075,False
74,000729,燕京啤酒,SZ,12.99,-2.55,21.80,59.06|2025年报,-,16.79亿|2025年报,17.70亿|2025三季报,11.03亿|2025半年报,1.65亿|2025一季报,10.56亿|2024年报,-,20.08亿|2025年报,20.57亿|2025三季报,12.69亿|2025半年报,2.27亿|2025一季报,13.24亿|2024年报,-0.340,13.35,12.83,2.99,1.42,7513.37万,9.76亿,5.45,2.3651,366.13亿,326.00亿,1000001776,False
