序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,换手率(%) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,CHG<70>{2026-04-16},IN_OPTIONAL
87,301283,聚胶股份,SZ,49.90,8.10,4.18,5.56,3.740,50.69,47.15,351.64万,1.72亿,5.25,2.3702,40.13亿,31.58亿,1002618220,8.10,False
88,301002,崧盛股份,SZ,40.52,8.02,2.20,8.61,3.010,40.90,37.60,718.11万,2.86亿,195.83,5.1736,54.08亿,33.78亿,1002218872,8.02,False
89,301360,荣旗科技,SZ,81.00,8.00,2.74,12.80,6.000,81.00,75.63,325.89万,2.59亿,206.81,3.7377,43.21亿,20.62亿,1002684292,8.00,False
90,600338,西藏珠峰,SH,20.51,8.00,1.85,13.25,1.520,20.58,19.17,1.21亿,24.36亿,10.74,4.3031,187.50亿,187.50亿,1000001972,8.00,False
91,603129,春风动力,SH,275.19,7.97,4.42,3.29,20.310,278.78,244.33,505.10万,13.50亿,24.98,5.2769,422.37亿,422.37亿,1000689522,7.97,False
92,301040,中环海陆,SZ,34.88,7.95,1.66,12.45,2.570,35.19,31.91,1175.28万,3.99亿,-13.19,4.7735,34.88亿,32.91亿,1002299867,7.95,False
93,301328,维峰电子,SZ,59.16,7.92,2.27,3.63,4.340,59.99,54.84,398.89万,2.29亿,19.92,3.3462,65.01亿,65.01亿,1002669707,7.92,False
94,300866,安克创新,SZ,120.68,7.89,1.62,4.19,8.830,120.88,112.00,1287.43万,15.17亿,6.36,6.1487,647.04亿,371.12亿,1001855434,7.89,False
95,920809,安达科技,BJ,8.13,7.82,2.10,8.93,0.590,8.26,7.63,4098.11万,3.28亿,-5.01,3.1114,48.70亿,37.33亿,1000322002,7.82,False
96,300322,硕贝德,SZ,31.26,7.79,3.02,23.48,2.260,32.28,28.31,1.03亿,31.79亿,55.58,14.2515,143.81亿,137.68亿,1000009418,7.79,False
97,001339,智微智能,SZ,72.65,7.76,1.85,11.56,5.230,72.98,67.49,1380.76万,9.81亿,34.99,8.1384,183.27亿,86.75亿,1002686336,7.76,False
98,688365,光云科技,SH,19.88,7.75,1.62,5.69,1.430,20.17,18.41,2424.58万,4.70亿,-140.79,8.9632,84.65亿,84.65亿,1001828873,7.75,False
99,600382,广东明珠,SH,10.05,7.72,1.74,6.14,0.720,10.20,9.20,4265.74万,4.19亿,7.46,2.5733,69.79亿,69.79亿,1000001005,7.72,False
100,603698,航天工程,SH,42.58,7.72,2.51,13.05,3.050,43.30,38.19,6996.14万,29.04亿,26.35,6.5718,228.22亿,228.22亿,1000305470,7.72,False
101,301157,华塑科技,SZ,79.50,7.68,2.10,37.39,5.670,81.69,73.40,772.48万,6.04亿,62.63,4.3600,47.70亿,16.42亿,1002649281,7.68,False
102,603399,永杉锂业,SH,12.97,7.63,1.77,17.43,0.920,13.26,12.05,8931.41万,11.47亿,-10.18,4.0064,66.44亿,66.44亿,1000010300,7.63,False
103,002624,完美世界,SZ,20.78,7.61,1.74,6.65,1.470,21.24,19.07,1.22亿,24.73亿,15.14,5.6916,403.13亿,379.80亿,1000008429,7.61,False
104,002378,章源钨业,SZ,32.39,7.47,2.41,9.24,2.250,33.08,29.73,1.10亿,35.03亿,51.17,16.6547,389.14亿,387.10亿,1000008326,7.47,False
105,300657,弘信电子,SZ,35.25,7.47,1.71,13.34,2.450,36.27,32.80,6251.68万,21.71亿,46.94,13.5080,169.95亿,165.15亿,1000361230,7.47,False
106,600986,浙文互联,SH,10.98,7.44,1.55,19.39,0.760,11.24,10.33,2.88亿,31.39亿,47.74,3.1512,163.31亿,163.31亿,1000002345,7.44,False
107,300277,汽轮科技,SZ,20.01,7.41,1.64,7.59,1.380,20.33,18.68,5825.01万,11.50亿,1931.22,2.6447,303.47亿,153.61亿,1000008159,7.41,False
108,000610,西安旅游,SZ,9.65,7.34,3.40,17.55,0.660,9.86,8.72,4133.35万,3.86亿,-7.11,14.6130,22.85亿,22.73亿,1000004169,7.34,False
109,605090,九丰能源,SH,42.71,7.31,2.27,4.98,2.910,43.32,39.91,3507.25万,14.59亿,6.07,2.7163,301.31亿,300.72亿,1001592022,7.31,False
110,300245,天玑科技,SZ,14.42,7.29,1.75,13.88,0.980,14.42,13.52,4223.63万,5.97亿,-25.63,3.5386,43.99亿,43.89亿,1000008211,7.29,False
111,300410,正业科技,SZ,9.63,7.24,3.27,16.68,0.650,9.82,8.97,6124.84万,5.82亿,24.03,13.4425,35.35亿,35.35亿,1000314436,7.24,False
112,301178,天亿马,SZ,56.01,7.20,2.89,9.10,3.760,56.98,52.15,450.05万,2.50亿,124.99,4.8190,37.44亿,27.71亿,1002320924,7.20,False
113,300153,科泰电源,SZ,28.78,7.15,1.74,8.03,1.920,28.91,27.09,2556.15万,7.20亿,60.31,10.1343,92.10亿,91.62亿,1000010202,7.15,False
114,301222,浙江恒威,SZ,39.14,7.14,1.55,9.36,2.610,39.99,36.12,746.82万,2.88亿,16.02,2.7381,39.23亿,31.24亿,1001239090,7.14,False
115,002899,英派斯,SZ,33.36,7.13,1.56,4.63,2.220,33.62,31.15,683.84万,2.24亿,24.29,2.8311,49.31亿,49.31亿,1000734418,7.13,False
116,002943,宇晶股份,SZ,57.35,7.12,1.64,20.11,3.810,58.18,53.56,2928.50万,16.52亿,130.38,13.1968,117.87亿,83.51亿,1001135173,7.12,False
117,688027,国盾量子,SH,619.14,7.12,1.78,5.63,41.140,628.88,591.00,452.83万,27.61亿,2952.82,19.6249,636.85亿,497.63亿,1001809262,7.12,False
118,000006,深振业Ａ,SZ,9.40,7.06,1.94,3.05,0.620,9.47,8.73,4115.82万,3.76亿,-75.08,2.3669,126.90亿,126.90亿,1000009567,7.06,False
119,603061,DR金海通,SH,245.98,7.02,1.90,6.06,16.130,252.84,220.10,527.60万,12.60亿,64.85,12.6998,214.00亿,214.00亿,1002497502,7.02,False
120,300137,先河环保,SZ,16.13,6.96,1.75,15.25,1.050,17.00,14.82,8083.00万,12.96亿,390.98,5.3037,86.55亿,85.49亿,1000008209,6.96,False
