序号,代码,名称,市场代码简称,最新价(元) 2026.04.16,涨跌幅(%) 2026.04.16,量比 2026.04.16,换手率(%) 2026.04.16,涨跌额(元) 2026.04.16,最高价(元) 2026.04.16,最低价(元) 2026.04.16,成交量(股) 2026.04.16,成交额(元) 2026.04.16,市盈率(动)(倍) 2026.04.16,市净率(倍) 2026.04.16,总市值(元) 2026.04.16,流通市值(元) 2026.04.16,CHOICE_INNER_CODE,CHG<70>{2026-04-16},IN_OPTIONAL
187,300649,杭州园林,SZ,15.65,5.25,2.16,4.32,0.780,16.14,14.70,458.53万,7100.01万,73.60,4.1457,20.72亿,16.61亿,1000614631,5.25,False
188,002446,盛路通信,SZ,10.48,5.22,2.75,7.73,0.520,10.55,9.87,6551.05万,6.74亿,28.53,3.7696,95.94亿,88.85亿,1000007869,5.22,False
189,603815,交建股份,SH,6.69,5.19,6.79,13.62,0.330,6.73,6.40,8428.26万,5.54亿,7.55,1.7129,41.41亿,41.41亿,1001416889,5.19,False
190,605098,行动教育,SH,63.27,5.19,4.06,5.29,3.120,64.37,61.36,630.31万,3.95亿,5.90,7.4669,75.45亿,75.45亿,1001030444,5.19,False
191,002334,英威腾,SZ,9.01,5.13,2.34,8.96,0.440,9.16,8.52,6585.42万,5.87亿,8.90,2.4115,74.13亿,66.19亿,1000008322,5.13,False
192,002805,丰元股份,SZ,18.51,5.11,3.27,18.32,0.900,19.37,17.61,5103.58万,9.56亿,-3.46,5.2498,51.84亿,51.56亿,1000011552,5.11,False
193,300774,倍杰特,SZ,18.35,5.10,1.64,6.91,0.890,18.38,17.30,1347.41万,2.42亿,22.30,5.0486,75.01亿,35.76亿,1001908726,5.10,False
194,002034,旺能环境,SZ,19.68,5.07,1.79,4.19,0.950,19.93,18.60,1807.78万,3.50亿,3.87,1.2300,85.41亿,84.98亿,1000002187,5.07,False
195,603171,税友股份,SH,56.39,5.07,2.22,3.63,2.720,56.89,53.70,1474.05万,8.27亿,51.87,9.0770,229.14亿,228.88亿,1001987652,5.07,False
196,300713,英可瑞,SZ,17.07,5.05,1.62,5.90,0.820,17.13,16.09,525.79万,8840.99万,-15.16,5.3093,27.09亿,15.21亿,1000734426,5.05,False
197,300912,凯龙高科,SZ,26.69,5.04,3.27,13.28,1.280,27.29,25.07,1141.14万,3.01亿,-28.30,6.2208,30.66亿,22.94亿,1001247930,5.04,False
198,300316,晶盛机电,SZ,45.60,5.00,1.64,4.46,2.170,46.50,41.95,5497.35万,24.44亿,16.87,3.4885,597.15亿,561.59亿,1000009027,5.00,False
199,603008,喜临门,SH,12.61,5.00,1.61,11.36,0.600,13.18,12.01,4184.97万,5.25亿,2.91,1.2199,46.44亿,46.44亿,1000010305,5.00,False
200,301270,汉仪股份,SZ,33.41,4.96,1.98,4.46,1.580,33.60,31.89,421.17万,1.38亿,92.35,3.3919,33.41亿,31.57亿,1002497464,4.96,False
